Website,Name,Address,Rent,Availability,Bedrooms,Bathrooms,Total Area,MRT Distance,Property Type,Built Year,URL
PropertyGuru,Commonwealth Towers,232 Commonwealth Avenue,"S$ 2,800 /mo",Available from 30 Nov,1,1,474 sqft,1 mins (40 m) to EW19 Queenstown MRT,Condominium,Built: 2017,https://www.propertyguru.com.sg/listing/23729916/for-rent-commonwealth-towers
PropertyGuru,MDIS Residences@Stirling,503 Stirling Road,S$ 535 /mo,Ready to move,1,1,100 sqft,8 mins (620 m) to EW19 Queenstown MRT,Apartment,Built: 2013,https://www.propertyguru.com.sg/listing/21755287/for-rent-mdis-residences-stirling
PropertyGuru,Commonwealth Towers,230 Commonwealth Avenue,"S$ 2,800 /mo",Available from 1 Jan,1,1,441 sqft,2 mins (180 m) to EW19 Queenstown MRT,Condominium,Built: 2017,https://www.propertyguru.com.sg/listing/23759069/for-rent-commonwealth-towers
PropertyGuru,Queenstown Student Housing,Stirling Road,S$ 550 /mo,Ready to move,1,1,120 sqft,8 mins (610 m) to EW19 Queenstown MRT,Condominium,Fully Furnished,https://www.propertyguru.com.sg/listing/21347646/for-rent-queenstown-student-housing
PropertyGuru,Alexis,356 Alexandra Road,"S$ 2,300 /mo",Available from 15 Dec,1,1,420 sqft,6 mins (440 m) to EW19 Queenstown MRT,Condominium,Built: 2014,https://www.propertyguru.com.sg/listing/23174900/for-rent-alexis
PropertyGuru,Queens Peak,Dundee Road,"S$ 2,800 /mo",Available from 30 Nov,1,1,441 sqft,1 mins (110 m) to EW19 Queenstown MRT,Condominium,Built: 2020,https://www.propertyguru.com.sg/listing/23754553/for-rent-queens-peak
PropertyGuru,Alexis,356 Alexandra Road,"S$ 2,500 /mo",Available from 14 Nov,1,1,400 sqft,6 mins (440 m) to EW19 Queenstown MRT,Condominium,Built: 2014,https://www.propertyguru.com.sg/listing/23726523/for-rent-alexis
PropertyGuru,Alexis,356 Alexandra Road,"S$ 2,500 /mo",Available from 30 Nov,1,1,398 sqft,6 mins (440 m) to EW19 Queenstown MRT,Condominium,Built: 2014,https://www.propertyguru.com.sg/listing/23147183/for-rent-alexis
PropertyGuru,"RARE! 160 Mei Ling Street, Walk to Queentown MRT / Amenities, *Newly Fitted Studio Unit*",Mei Ling Street,"S$ 2,500 /mo",Available from 16 Dec,1,1,625 sqft,5 mins (360 m) to EW19 Queenstown MRT,HDB Flat,Built: 1970,https://www.propertyguru.com.sg/listing/hdb-for-rent-rare-160-mei-ling-street-walk-to-queentown-mrt-amenities-newly-fitted-studio-unit-22708909
PropertyGuru,Commonwealth Towers,Commonwealth Avenue,"S$ 2,800 /mo",Ready to move,1,1,452 sqft,13 mins (940 m) to EW19 Queenstown MRT,Condominium,Built: 2017,https://www.propertyguru.com.sg/listing/22294122/for-rent-commonwealth-towers
PropertyGuru,Commonwealth Towers,232 Commonwealth Avenue,"S$ 2,800 /mo",Available from 1 Dec,1,1,442 sqft,1 mins (80 m) to EW19 Queenstown MRT,Condominium,Built: 2017,https://www.propertyguru.com.sg/listing/23755481/for-rent-commonwealth-towers
PropertyGuru,Commonwealth Towers,commonwealth Avenue,"S$ 2,800 /mo",Available from 20 Dec,1,1,463 sqft,1 mins (80 m) to EW19 Queenstown MRT,Condominium,Built: 2017,https://www.propertyguru.com.sg/listing/22644237/for-rent-commonwealth-towers
PropertyGuru,Queensway Tower,1 Queensway,"S$ 1,100 /mo",Ready to move,1,1,130 sqft,12 mins (880 m) to EW19 Queenstown MRT,Apartment,Built: 1976,https://www.propertyguru.com.sg/listing/20573475/for-rent-queensway-tower
PropertyGuru,Commonwealth Towers,232 Commonwealth Avenue,"S$ 3,200 /mo",Ready to move,S,o,441 sqft,1 mins (40 m) to EW19 Queenstown MRT,Condominium,Built: 2017,https://www.propertyguru.com.sg/listing/23527808/for-rent-commonwealth-towers
PropertyGuru,Alexis,356 Alexandra Road,"S$ 2,500 /mo",Available from 15 Nov,1,1,400 sqft,6 mins (440 m) to EW19 Queenstown MRT,Condominium,Built: 2014,https://www.propertyguru.com.sg/listing/23719574/for-rent-alexis
PropertyGuru,Commonwealth Towers,232 Commonwealth Avenue,"S$ 2,800 /mo",Available from 1 Dec,1,1,441 sqft,1 mins (40 m) to EW19 Queenstown MRT,Condominium,Built: 2017,https://www.propertyguru.com.sg/listing/23335282/for-rent-commonwealth-towers
PropertyGuru,Queens,10 Stirling Road,"S$ 1,900 /mo",Available from 7 Dec,1,1,200 sqft,3 mins (220 m) to EW19 Queenstown MRT,Condominium,Built: 2002,https://www.propertyguru.com.sg/listing/22086286/for-rent-queens
PropertyGuru,53A Strathmore Avenue,53A Strathmore Avenue,"S$ 1,100 /mo",Ready to move,1,1,100 sqft,3 mins (220 m) to EW19 Queenstown MRT,HDB Flat,Built: 2004,https://www.propertyguru.com.sg/listing/hdb-for-rent-53a-strathmore-avenue-23746359
